account_id,customer_id,account_type,opening_date,status
A0000001,,DEPOSIT,2020-01-22,ACTIVE
A0000002,,DEPOSIT,2020-11-27,ACTIVE
A0000003,,DEPOSIT,2025-04-03,ACTIVE
A0000004,,CURRENT,2023-06-30,ACTIVE
A0000005,C000450,CURRENT,2021-05-25,ACTIVE
A0000006,C000508,DEPOSIT,2022-04-04,CLOSED
A0000007,C000113,DEPOSIT,2026-04-10,ACTIVE
A0000008,C000985,SAVINGS,2021-04-12,ACTIVE
A0000009,C000593,DEPOSIT,2023-10-11,ACTIVE
A0000010,C000926,CURRENT,2023-11-26,ACTIVE
A0000011,C000816,DEPOSIT,2021-07-27,CLOSED
A0000012,C000710,CURRENT,2021-09-17,ACTIVE
A0000013,C000506,DEPOSIT,2025-01-16,ACTIVE
A0000014,C000555,DEPOSIT,2025-09-05,ACTIVE
A0000015,C000702,CURRENT,2024-04-10,CLOSED
A0000016,C000202,SAVINGS,2024-08-11,ACTIVE
A0000017,C000971,DEPOSIT,2022-09-15,ACTIVE
A0000018,C000781,CURRENT,2024-06-14,ACTIVE
A0000019,C000302,SAVINGS,2023-05-28,ACTIVE
A0000020,C000634,CURRENT,2021-10-12,ACTIVE
A0000021,C000431,DEPOSIT,2022-11-20,ACTIVE
A0000022,C000955,SAVINGS,2021-12-12,ACTIVE
A0000023,C000529,DEPOSIT,2025-07-01,CLOSED
A0000024,C000005,DEPOSIT,2025-06-01,ACTIVE
A0000025,C000833,SAVINGS,2025-05-01,ACTIVE
A0000026,C000330,DEPOSIT,2023-05-29,ACTIVE
A0000027,C000078,SAVINGS,2025-08-30,ACTIVE
A0000028,C000444,CURRENT,2022-03-31,CLOSED
A0000029,C000553,DEPOSIT,2023-01-03,ACTIVE
A0000030,C000751,CURRENT,2020-10-28,ACTIVE
A0000031,C000899,SAVINGS,2023-05-08,ACTIVE
A0000032,C000289,CURRENT,2020-09-05,ACTIVE
A0000033,C000141,CURRENT,2023-06-12,ACTIVE
A0000034,C000353,CURRENT,2023-01-09,ACTIVE
A0000035,C000097,CURRENT,2023-10-03,ACTIVE
A0000036,C000234,SAVINGS,2026-04-04,CLOSED
A0000037,C000610,DEPOSIT,2026-01-29,ACTIVE
A0000038,C000917,SAVINGS,2024-01-11,CLOSED
A0000039,C000079,SAVINGS,2025-05-15,ACTIVE
A0000040,C000616,DEPOSIT,2024-07-11,CLOSED
A0000041,C000438,CURRENT,2024-01-26,ACTIVE
A0000042,C000677,DEPOSIT,2022-01-12,ACTIVE
