transaction_id,account_id,transaction_date,transaction_type,amount
T00000001,,2025-11-23,DEPOSIT,449000.0
T00000002,,2026-03-04,DEPOSIT,754000.0
T00000003,,2025-01-05,WITHDRAWAL,28000.0
T00000004,,2026-05-27,DEPOSIT,467000.0
T00000005,,2025-01-10,DEPOSIT,2916000.0
T00000006,,2025-10-10,WITHDRAWAL,3710000.0
T00000007,,2025-11-07,DEPOSIT,1113000.0
T00000008,,2025-02-16,WITHDRAWAL,3070000.0
T00000009,A9990008,2025-04-12,DEPOSIT,4736000.0
T00000010,A9990009,2026-05-30,DEPOSIT,3719000.0
T00000011,A9990010,2025-01-08,WITHDRAWAL,3014000.0
T00000012,A9990011,2026-02-03,WITHDRAWAL,2491000.0
T00000013,A9990012,2026-02-06,WITHDRAWAL,3017000.0
T00000014,A9990013,2025-07-10,DEPOSIT,151000.0
T00000015,A9990014,2026-02-13,DEPOSIT,766000.0
T00000016,A9990015,2025-06-27,TRANSFER,4555000.0
T00000017,A9990016,2025-09-09,DEPOSIT,3399000.0
T00000018,A9990017,2026-06-02,WITHDRAWAL,4852000.0
T00000019,A0000378,29/05/2026,WITHDRAWAL,3153000.0
T00000020,A0000076,28/07/2025,TRANSFER,1257000.0
T00000021,A0000262,11/01/2026,DEPOSIT,4501000.0
T00000022,A0000188,11/02/2025,TRANSFER,3710000.0
T00000023,A0000460,28/06/2025,TRANSFER,1732000.0
T00000024,A0001504,17/07/2026,TRANSFER,4845000.0
T00000025,A0000519,11/03/2025,DEPOSIT,186000.0
T00000026,A0001481,18/08/2026,TRANSFER,987000.0
T00000027,A0001174,08/03/2026,DEPOSIT,1981000.0
T00000028,A0000330,02/04/2025,WITHDRAWAL,384000.0
T00000029,A0001065,10/04/2025,DEPOSIT,1177000.0
T00000030,A0000927,22/08/2025,DEPOSIT,4616000.0
T00000031,A0001071,2026-03-31,WITHDRAWAL,
T00000032,A0000387,2025-10-01,WITHDRAWAL,
T00000033,A0000289,2025-07-08,DEPOSIT,
T00000034,A0000508,2025-07-17,WITHDRAWAL,
T00000035,A0000587,2026-04-13,TRANSFER,
T00000036,A0001007,2026-07-22,DEPOSIT,
T00000037,A0000383,2026-06-16,DEPOSIT,
T00000038,A0000198,2026-03-10,TRANSFER,
T00000039,A0000865,2025-03-07,TRANSFER,-1739000.0
T00000040,A0000455,2026-02-01,WITHDRAWAL,-797000.0
T00000041,A0000214,2026-05-13,DEPOSIT,-2570000.0
T00000042,A0001195,2026-03-06,DEPOSIT,-3882000.0
T00000043,A0000121,2025-04-06,TRANSFER,-1205000.0
T00000044,A0000643,2026-06-22,TRANSFER,-2526000.0
T00000045,A0000089,2025-05-05,WITHDRAWAL,-201000.0
T00000046,A0000796,2025-09-19,TRANSFER,-1007000.0
T00000047,A0000830,2026-08-13,DEPOSIT,-4935000.0
T00000048,A0001702,2025-06-06,WITHDRAWAL,-3920000.0
T00000049,A0001091,2025-10-06,UNKNOWN,3335000.0
T00000050,A0000818,2026-07-22,UNKNOWN,1440000.0
T00000051,A0001778,2025-08-07,UNKNOWN,1380000.0
T00000052,A0000699,2025-12-18,UNKNOWN,2440000.0
T00000053,A0000179,2026-02-08,UNKNOWN,2856000.0
T00000054,A0000833,2025-08-02,UNKNOWN,2492000.0
T00000055,A0000952,2025-07-20,UNKNOWN,4952000.0
T00000056,A0000132,2026-03-23,UNKNOWN,4294000.0
T00000057,A0000061,2025-01-15,UNKNOWN,1868000.0
T00000058,A0001297,2026-07-29,UNKNOWN,1811000.0
T00000059,A0001537,2026-08-20, TRANSFER ,485000.0
T00000060,A0001320,2026-03-01, TRANSFER ,2473000.0
T00000061,A0000224,2026-08-27, TRANSFER ,863000.0
T00000062,A0001763,2026-05-30, DEPOSIT ,4857000.0
T00000063,A0000147,2025-05-03, DEPOSIT ,3186000.0
T00000064,A0001252,2026-04-14,DEPOSIT,4755000.0
T00000065,A0000152,2026-08-08,WITHDRAWAL,597000.0
T00000066,A0000003,2025-08-23,WITHDRAWAL,2216000.0
T00000067,A0000341,2025-05-04,TRANSFER,292000.0
T00000068,A0001277,2025-02-06,WITHDRAWAL,232000.0
T00000069,A0001302,2026-06-15,WITHDRAWAL,4152000.0
T00000070,A0001610,2026-04-27,WITHDRAWAL,1254000.0
T00000071,A0001521,2025-06-05,WITHDRAWAL,2017000.0
T00000072,A0000063,2025-03-12,TRANSFER,357000.0
T00000073,A0000034,2026-06-03,TRANSFER,2261000.0
T00000074,A0000863,2026-01-10,DEPOSIT,4021000.0
T00000075,A0000054,2026-05-08,WITHDRAWAL,1030000.0
T00000076,A0001052,2025-03-02,WITHDRAWAL,1645000.0
T00000077,A0001661,2026-01-23,DEPOSIT,3524000.0
T00000078,A0000270,2025-10-28,WITHDRAWAL,4631000.0
T00000079,A0001530,2025-03-18,DEPOSIT,2362000.0
T00000080,A0000858,2025-10-21,DEPOSIT,2714000.0
T00000081,A0000456,2025-04-15,TRANSFER,2853000.0
T00000082,A0001608,2026-03-02,WITHDRAWAL,880000.0
T00000083,A0000678,2025-02-06,WITHDRAWAL,1028000.0
T00000084,A0001135,2026-02-24,DEPOSIT,2418000.0
T00000085,A0000811,2025-08-15,TRANSFER,530000.0
T00000086,A0000980,2025-03-04,TRANSFER,711000.0
T00000087,A0000740,2025-02-06,WITHDRAWAL,867000.0
T00000088,A0000503,2026-06-11,DEPOSIT,4945000.0
T00000089,A0000857,2025-07-29,TRANSFER,3737000.0
T00000090,A0001472,2026-05-03,TRANSFER,1818000.0
T00000091,A0001190,2026-02-18,TRANSFER,2223000.0
T00000092,A0001695,2025-07-13,DEPOSIT,1021000.0
T00000093,A0000773,2025-06-09,WITHDRAWAL,25000.0
T00000094,A0001639,2026-01-10,TRANSFER,3746000.0
T00000095,A0000886,2026-08-02,TRANSFER,3641000.0
T00000096,A0000896,2025-08-02,DEPOSIT,2353000.0
T00000097,A0001426,2026-05-22,TRANSFER,205000.0
T00000098,A0001366,2025-08-30,DEPOSIT,1508000.0
T00000099,A0000469,2025-11-18,TRANSFER,4235000.0
T00000100,A0000293,2025-01-18,TRANSFER,3881000.0
T00000101,A0001082,2025-05-09,TRANSFER,4130000.0
T00000102,A0000583,2026-03-02,TRANSFER,4139000.0
T00000103,A0000219,2025-09-13,DEPOSIT,3285000.0
T00000104,A0000377,2025-10-31,DEPOSIT,4195000.0
T00000105,A0000419,2025-11-11,WITHDRAWAL,535000.0
T00000106,A0000452,2025-11-14,WITHDRAWAL,3270000.0
T00000107,A0000627,2025-11-10,WITHDRAWAL,218000.0
T00000108,A0001198,2026-03-19,WITHDRAWAL,2155000.0
